ID,[Fe/H],E(B-V),(m-M)V,RA,DEC
ngc0104,-0.72,0.04,13.37,6.023625,-72.08127777777777
ngc0288,-1.32,0.03,14.84,13.1885,-26.58261111111111
ngc0362,-1.26,0.05,14.83,15.809416666666667,-70.84877777777777
Whiting1,-0.7,0.03,17.49,30.737499999999997,-3.2527777777777778
ngc1261,-1.27,0.01,16.09,48.06754166666667,-55.21622222222223
Pal1,-0.65,0.15,15.7,53.3335,79.58105555555555
AM1,-1.7,0.0,20.45,58.75958333333333,-49.61527777777778
Eridanus,-1.43,0.02,19.83,66.18541666666667,-21.186944444444446
Pal2,-1.42,1.24,21.01,71.524625,31.3815
ngc1851,-1.18,0.02,15.47,78.52816666666666,-40.04655555555556
ngc1904,-1.6,0.01,15.59,81.04620833333334,-24.52472222222222
ngc2298,-1.92,0.14,15.6,102.24754166666668,-36.00530555555556
ngc2419,-2.15,0.08,19.83,114.53529166666665,38.882444444444445
Ko2,0.0,18.6,17.6,119.57083333333333,26.255
Pyxis,-1.2,0.21,18.63,136.99083333333334,-37.22138888888889
ngc2808,-1.14,0.22,15.59,138.01291666666665,-64.86349999999999
E3,-0.83,0.3,15.47,140.23779166666665,-77.28188888888889
Pal3,-1.63,0.04,19.95,151.3829166666667,0.07166666666666667
ngc3201,-1.59,0.24,14.2,154.4034166666667,-46.41247222222222
Pal4,-1.41,0.01,20.21,172.32,28.97358333333333
Ko1,0.0,19.1,17.1,179.82708333333332,12.26
ngc4147,-1.8,0.02,16.49,182.52624999999998,18.54263888888889
ngc4372,-2.17,0.39,15.03,186.43916666666667,-72.659
Rup106,-1.68,0.2,17.25,189.6675,-51.150277777777774
ngc4590,-2.23,0.05,15.21,189.86658333333332,-26.744055555555555
ngc4833,-1.85,0.32,15.08,194.8913333333333,-70.8765
ngc5024,-2.1,0.02,16.32,198.23020833333334,18.168166666666668
ngc5053,-2.27,0.01,16.23,199.112875,17.70025
ngc5139,-1.53,0.12,13.94,201.69683333333333,-47.47958333333334
ngc5272,-1.5,0.01,15.07,205.54841666666664,28.377277777777778
ngc5286,-1.69,0.24,16.08,206.61170833333335,-51.37425
AM4,-1.3,0.05,17.69,209.09041666666667,-27.1675
ngc5466,-1.98,0.0,16.02,211.36370833333336,28.534444444444446
ngc5634,-1.88,0.05,17.16,217.405125,-5.976416666666667
ngc5694,-1.98,0.09,18.0,219.90120833333333,-26.538944444444446
IC4499,-1.53,0.23,17.08,,
ngc5824,-1.91,0.13,17.94,225.99429166666667,-33.068222222222225
Pal5,-1.41,0.03,16.92,229.02187500000002,0.11161111111111112
ngc5897,-1.9,0.09,15.76,229.35208333333333,-21.010277777777777
ngc5904,-1.29,0.03,14.46,229.63841666666667,2.081027777777778
ngc5927,-0.49,0.45,15.82,232.002875,-50.673027777777776
ngc5946,-1.29,0.54,16.79,233.86883333333333,-50.659666666666666
BH176,0.0,0.54,18.06,234.78104166666668,-50.05272222222222
ngc5986,-1.59,0.28,15.96,236.5125,-37.78641666666667
Lynga7,-0.67,0.73,16.78,242.76520833333333,-55.31777777777778
Pal14,-1.62,0.04,19.54,242.75249999999997,14.957777777777777
ngc6093,-1.75,0.18,15.56,244.2600416666667,-22.97608333333333
ngc6121,-1.16,0.35,12.82,245.89675000000003,-26.52575
ngc6101,-1.98,0.05,16.1,246.4505,-72.20219444444444
ngc6144,-1.76,0.36,15.86,246.80775,-26.0235
ngc6139,-1.65,0.75,17.35,246.91820833333333,-38.84875
Terzan3,-0.74,0.73,16.82,247.16699999999997,-35.35347222222222
ngc6171,-1.02,0.33,15.05,248.13275000000002,-13.053777777777778
1636-283,-1.5,0.46,16.02,249.85604166666664,-28.398694444444445
ngc6205,-1.53,0.02,14.33,250.42183333333335,36.45986111111112
ngc6229,-1.47,0.01,17.45,251.74495833333333,47.52775
ngc6218,-1.37,0.19,14.01,251.80908333333338,-1.9485277777777779
FSR1735,0.0,20.0,12.9,253.04416666666668,-47.058055555555555
ngc6235,-1.28,0.31,16.26,253.35545833333333,-22.177444444444447
ngc6254,-1.56,0.28,14.08,254.2877083333333,-4.100305555555555
ngc6256,-1.02,1.09,18.44,254.8859166666667,-37.12138888888889
Pal15,-2.07,0.4,19.51,254.96250000000003,0.5388888888888889
ngc6266,-1.18,0.47,15.63,255.30333333333328,-30.113722222222222
ngc6273,-1.74,0.38,15.9,255.65750000000003,-26.26797222222222
ngc6284,-1.26,0.28,16.79,256.11879166666665,-24.76486111111111
ngc6287,-2.1,0.6,16.72,256.2880416666667,-22.70836111111111
ngc6293,-1.99,0.36,16.0,257.5425,-26.582083333333333
ngc6304,-0.45,0.54,15.52,258.634375,-29.462027777777777
ngc6316,-0.45,0.54,16.77,259.15541666666667,-28.14011111111111
ngc6341,-2.31,0.02,14.65,259.2807916666667,43.13594444444444
ngc6325,-1.25,0.91,17.29,259.49670833333334,-23.766
ngc6333,-1.77,0.38,15.67,259.7969166666667,-18.515944444444443
ngc6342,-0.55,0.46,16.08,260.29200000000003,-19.587416666666666
ngc6356,-0.4,0.28,16.76,260.8955416666667,-17.81302777777778
ngc6355,-1.37,0.77,17.21,260.994125,-26.353416666666668
ngc6352,-0.64,0.22,14.43,261.3712916666667,-48.42216666666666
IC1257,-1.7,0.73,19.25,261.78541666666666,-7.093055555555555
Terzan2,-0.69,1.87,20.17,261.8879166666666,-30.802333333333333
ngc6366,-0.59,0.71,14.94,261.9343333333333,-5.079861111111111
Terzan4,-1.41,2.0,20.48,262.6625,-31.595527777777775
HP1,-1.0,1.12,18.05,262.77166666666665,-29.981666666666666
ngc6362,-0.99,0.09,14.68,262.97912499999995,-67.04833333333333
Liller1,-0.33,3.07,24.09,263.3520833333333,-33.389
ngc6380,-0.75,1.17,18.81,263.6166666666667,-39.06916666666667
Terzan1,-1.03,1.99,20.31,263.94916666666666,-30.46972222222222
